username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
surya_teja_vaddi,surya_teja_vaddi,0,0,15,1,650,793,1,0,0,0,134,1,2430,98,16.0,12,202.5
rash__a__d,🍁ŔΛSĤΛD MƱĤΛMMƐD🍁,0,1,32,0,647,373,0,3,1,0,2,10,439,39,20.0,2,219.5
rahil__blz,Rahil Muthu,0,0,0,0,289,605,0,4,0,0,33,0,765,37,11.0,12,63.75
sou_rv_,sourav,0,0,18,0,1014,905,0,5,0,1,37,7,4890,233,6.0,12,407.5
__.a_thul__,ATHUL,0,0,0,0,523,230,1,4,0,1,2,3,307,25,5.0,2,153.5
dev.ipriya,Devipriya❤️,0,0,10,0,534,526,0,1,0,1,0,0,0,0,11.0,0,0.0
abh_i._,A  B  H  I  N  A  N  D,0,0,10,0,907,663,0,2,1,0,20,19,2920,284,22.0,12,243.33333333333334
sh464n,شرن♂️,0,0,51,0,1411,226,1,2,1,0,3,10,607,23,5.0,3,202.33333333333334
aath_ira_shine_,Aathira shine,0,0,145,0,1045,739,1,6,0,1,14,25,3726,286,13.0,12,310.5
ya_dhu01,YADHU VIKAS,0,0,2,0,285,418,0,1,0,0,0,0,0,0,11.0,0,0.0
vyshnavi__balan,Vyshnavi,0,0,46,0,2043,224,1,6,1,0,36,20,5595,336,8.0,12,466.25
_chain.__.breaker_,ᴀʙʜɪ,0,0,141,0,1014,689,0,2,1,0,13,19,4203,230,4.0,12,350.25
ragendus,Ragendu s,0,0,0,0,203,173,0,2,0,1,0,0,0,0,9.0,0,0.0
